m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,01086	1,40589	-0,29448	-4,57169	-0,08559	0,18638	-1,39352	-0,16992	0,18157	-1,49651
0,18052	0,13776	-2,98255	-5,53148	-0,07509	0,24612	-2,44900	-0,09579	0,23682	-2,33410
-0,06193	-1,13141	-5,50323	-6,35798	-0,43956	0,07315	-3,67236	-0,56661	0,03943	-3,69744
-0,01724	-2,30341	-7,99568	-6,94219	-0,37408	-0,06281	-4,67550	-0,54791	-0,11391	-4,75613
0,12227	-3,51221	-10,52747	-7,17834	-0,34614	-0,00332	-5,22101	-0,44207	-0,00852	-5,03770
-0,05372	-4,12935	-11,81646	-7,00820	-0,54816	0,06459	-5,50962	-0,74129	0,04174	-5,58548
-0,06674	-4,17917	-11,86445	-6,37525	-0,39064	0,29157	-4,78423	-0,58440	0,30059	-4,65235
0,01255	-3,49380	-10,40974	-5,29822	-0,25701	0,32783	-3,74822	-0,38096	0,31374	-3,84802
0,05685	-2,26036	-7,81576	-3,82760	-0,09709	0,31302	-1,88985	-0,13975	0,35694	-1,83299
0,07018	-0,43711	-3,86919	-2,08614	0,06814	0,00332	0,16763	0,05260	0,04381	0,06266
0,11117	1,96214	1,14635	-0,21959	0,26270	-0,26566	2,65089	0,39875	-0,22186	2,50686
0,24930	4,50958	6,54068	1,58508	0,52730	-0,38259	5,14300	0,77314	-0,31909	4,99889
0,26961	6,95268	11,64357	3,12322	0,61503	-0,39331	7,02805	0,89265	-0,34842	6,74692
0,13943	8,69089	15,32648	4,22880	0,55397	-0,27178	8,16987	0,83734	-0,20530	7,96651
0,24201	9,55060	16,93800	4,77227	0,67066	-0,11055	8,10995	0,95556	-0,04783	7,83952
0,19555	9,16010	16,14792	4,70496	0,49430	0,00702	7,01465	0,72634	0,07655	6,95010
0,13336	7,86281	13,30159	4,05332	0,36004	-0,05311	4,83366	0,50756	-0,02227	4,69296
0,26604	5,79451	8,83219	2,93480	0,31137	-0,11910	2,47049	0,44916	-0,04929	2,62237
0,20232	3,50464	4,06305	1,49074	0,02326	-0,22570	-0,16940	0,08857	-0,18936	-0,11036
0,12432	1,34646	-0,50870	-0,09581	-0,10455	-0,12740	-2,30235	-0,17649	-0,09067	-2,15271
0,15109	-0,54180	-4,44029	-1,65622	-0,22010	0,01404	-3,92735	-0,32088	0,03237	-3,74282
0,06841	-1,93740	-7,26664	-3,04923	-0,41858	0,11425	-5,13416	-0,57885	0,09334	-5,09094
-0,00091	-2,97122	-9,37578	-4,14825	-0,47900	0,27306	-5,55994	-0,68882	0,26822	-5,37547
-0,01961	-3,47747	-10,39201	-4,88567	-0,51010	0,26859	-5,79659	-0,74245	0,21468	-5,85144
0,01167	-3,73344	-10,85083	-5,20048	-0,46788	0,31327	-5,40002	-0,63596	0,29074	-5,29502
0,04042	-3,58349	-10,53831	-5,08878	-0,38419	0,18383	-4,86425	-0,55887	0,13788	-4,90362
-0,04260	-3,08490	-9,49102	-4,55885	-0,41529	0,11285	-3,90384	-0,55358	0,10089	-3,94600
0,07620	-2,25602	-7,71865	-3,65877	-0,16586	0,09562	-2,51967	-0,22303	0,11208	-2,45916
0,16591	-0,88206	-4,84573	-2,47747	0,00341	-0,04340	-1,02906	-0,00657	-0,04393	-1,21340
0,14688	0,71276	-1,48474	-1,11256	0,10076	-0,12587	0,96724	0,16063	-0,06742	0,99604
0,10055	2,65917	2,61690	0,29080	0,17231	-0,19532	2,71676	0,27383	-0,16174	2,47656
0,21190	4,56122	6,57935	1,59243	0,41011	-0,12766	4,55085	0,58904	-0,06085	4,45046
0,21409	6,13656	9,98833	2,63865	0,42818	-0,15230	5,68155	0,63622	-0,11038	5,48466
0,12242	7,23117	12,16432	3,31645	0,40290	-0,14476	6,14652	0,60425	-0,08847	5,90004
0,25193	7,42773	12,62128	3,55896	0,50517	-0,08808	5,94210	0,74103	-0,01728	5,92144
0,19414	7,02901	11,69846	3,33569	0,32806	-0,18447	4,66046	0,51078	-0,17281	4,40302
0,20063	5,80456	9,05641	2,70779	0,28015	-0,08285	3,24658	0,40584	-0,01473	3,38377
0,21813	4,29964	5,81195	1,74714	0,11188	-0,17847	1,20137	0,18216	-0,15188	1,11684
0,13016	2,56378	2,19435	0,58496	-0,07130	-0,02783	-0,54866	-0,06046	0,01509	-0,40507
0,12664	0,92938	-1,29271	-0,64821	-0,12149	0,06013	-2,17214	-0,19828	0,09030	-2,07974
0,10742	-0,43914	-4,15914	-1,82472	-0,24487	0,10276	-3,45189	-0,34564	0,09736	-3,40646
0,02990	-1,59174	-6,49734	-2,82937	-0,37269	0,16200	-4,13658	-0,48435	0,16855	-3,94574
0,01870	-2,23068	-7,81958	-3,58736	-0,39481	0,09434	-4,68119	-0,57266	0,04637	-4,77663
0,05313	-2,69201	-8,73438	-4,02162	-0,35941	0,17847	-4,49966	-0,49209	0,17220	-4,33817
0,03948	-2,71667	-8,75484	-4,11984	-0,38419	0,08004	-4,29397	-0,51620	0,04126	-4,37608
0,00750	-2,44643	-8,16458	-3,86835	-0,33754	0,11579	-3,53672	-0,46308	0,11245	-3,52726
0,05013	-1,82784	-6,88896	-3,29901	-0,19279	0,10851	-2,50374	-0,27151	0,12109	-2,48327
0,11940	-0,79549	-4,67945	-2,47318	-0,06991	0,06077	-1,32387	-0,08186	0,05476	-1,47936
0,12669	0,40719	-2,15414	-1,46463	0,03198	-0,01711	0,26005	0,06111	0,03140	0,30013
0,07964	1,91891	1,06003	-0,39095	0,07105	-0,13110	1,62209	0,12557	-0,11172	1,39711
0,14099	3,42474	4,18802	0,65136	0,25246	-0,07187	3,15177	0,38225	-0,02288	3,08017
0,21948	4,77201	7,00542	1,52701	0,36725	-0,11987	4,18993	0,53837	-0,08653	4,04062
0,11286	5,80971	9,12547	2,13813	0,26763	-0,15293	4,75161	0,41706	-0,10320	4,53091
0,22961	6,19073	9,97591	2,42353	0,42414	-0,08170	4,82999	0,62037	-0,02337	4,79648
0,21359	6,11891	9,73883	2,34130	0,30884	-0,17387	4,08816	0,47378	-0,15383	3,89185
0,12115	5,39539	8,13909	1,92097	0,18230	-0,09779	3,09336	0,28827	-0,02957	3,10247
0,19958	4,26961	5,78096	1,20555	0,18179	-0,09523	1,58796	0,26003	-0,06146	1,56458
0,15518	2,94435	2,93128	0,28385	0,00657	-0,03983	0,10012	0,05892	-0,01424	0,14117
0,05099	1,55982	0,05682	-0,73233	-0,14930	0,03574	-1,29125	-0,20408	0,07046	-1,22049
0,11552	0,33148	-2,51500	-1,74005	-0,14336	0,09038	-2,47353	-0,22445	0,08981	-2,44678
0,10661	-0,73083	-4,68565	-2,63871	-0,26852	0,09740	-3,26011	-0,34538	0,10308	-3,14089
0,02331	-1,46953	-6,19435	-3,35229	-0,36358	0,07430	-3,79613	-0,48732	0,05878	-3,79993
0,07768	-1,93690	-7,17214	-3,81301	-0,28381	0,07276	-3,91218	-0,42170	0,05793	-3,88308
0,08247	-2,14068	-7,55482	-3,98716	-0,30202	0,09128	-3,73494	-0,38483	0,07728	-3,69731
0,00935	-1,98393	-7,22208	-3,86591	-0,32730	0,07340	-3,29879	-0,45045	0,05562	-3,36405
0,05633	-1,57526	-6,35206	-3,45585	-0,21062	0,12562	-2,49085	-0,29484	0,14056	-2,48017
0,11195	-0,85727	-4,79487	-2,80168	-0,10202	0,10379	-1,53461	-0,13047	0,10052	-1,58546
0,12333	0,14112	-2,74242	-1,96309	-0,02099	0,03294	-0,37660	-0,00554	0,04746	-0,46798
0,10906	1,25969	-0,35354	-1,02160	0,06005	-0,06370	0,91642	0,08857	-0,02227	0,87228
0,07974	2,54914	2,34938	-0,07070	0,12288	-0,08030	2,06507	0,20408	-0,05866	1,88224
0,17875	3,75372	4,78279	0,80028	0,30063	-0,10774	3,23306	0,45200	-0,04990	3,19452
0,17370	4,75008	6,97852	1,48121	0,25714	-0,13915	3,81800	0,39114	-0,11087	3,60681
0,16380	5,37911	8,22010	1,91099	0,28811	-0,09357	4,10004	0,43072	-0,04661	3,98867
0,25674	5,47047	8,38672	2,04607	0,35992	-0,08438	3,90333	0,54095	-0,03176	3,87303
0,13201	5,20919	7,78396	1,87422	0,17623	-0,14489	3,03774	0,28143	-0,12961	2,82258
0,13836	4,34990	5,98820	1,43942	0,19949	-0,02987	2,12613	0,29097	0,02203	2,25443
0,17992	3,37557	3,82201	0,77849	0,09380	-0,12459	0,70277	0,15870	-0,12060	0,57885
0,05591	2,16086	1,32414	-0,00591	-0,11213	-0,00396	-0,45814	-0,10249	0,03773	-0,34963
0,09318	0,99964	-1,12328	-0,82646	-0,08799	0,03408	-1,62715	-0,16334	0,05172	-1,58907
0,13398	0,03888	-3,17547	-1,59462	-0,15815	0,06242	-2,52852	-0,19983	0,05890	-2,51872
0,02479	-0,80813	-4,83602	-2,22906	-0,31377	0,12102	-2,97453	-0,39965	0,14360	-2,81317
0,06948	-1,19620	-5,66440	-2,68065	-0,24639	0,08030	-3,38034	-0,38199	0,03773	-3,51901
0,14372	-1,49305	-6,25279	-2,89084	-0,20366	0,13608	-3,09020	-0,26287	0,15054	-2,90574
0,02099	-1,40971	-6,02143	-2,86601	-0,32237	0,04723	-2,94849	-0,42157	0,01606	-3,09254
0,03906	-1,14258	-5,46023	-2,59188	-0,18571	0,06255	-2,32991	-0,27653	0,05902	-2,33604
0,14630	-0,71419	-4,54883	-2,09841	-0,06498	0,07902	-1,55344	-0,07851	0,09249	-1,50411
0,10448	0,05938	-2,91951	-1,43948	-0,09267	-0,01672	-0,83121	-0,09733	-0,02568	-1,04683
0,12099	0,81875	-1,26932	-0,65464	0,03982	-0,00549	0,37395	0,05801	0,05549	0,50073
0,11010	1,94542	1,03612	0,16622	0,05828	-0,08655	1,21224	0,09437	-0,07582	0,95066
0,13935	2,99622	3,22547	0,96117	0,18634	-0,01047	2,42536	0,30889	0,05391	2,45568
0,21471	3,99680	5,37987	1,62192	0,29671	-0,08962	3,11953	0,41267	-0,06985	2,96981
0,11326	4,84177	7,02263	2,08265	0,20442	-0,13098	3,57098	0,32591	-0,09322	3,37656
0,23482	5,09135	7,62031	2,29830	0,35081	-0,07851	3,73987	0,53334	-0,01424	3,79825
0,19724	5,13906	7,64214	2,22641	0,23375	-0,19749	3,03786	0,34796	-0,20810	2,73969
0,12034	4,53508	6,33865	1,90294	0,14665	-0,05055	2,46582	0,23592	0,02215	2,61541
0,24721	3,76271	4,66313	1,34174	0,16119	-0,10991	1,20288	0,23296	-0,09578	1,06205
0,17453	2,71141	2,50534	0,62251	-0,02010	-0,00434	0,11985	0,01947	0,02933	0,19119
0,04797	1,58872	0,12672	-0,17587	-0,12073	0,04647	-0,98582	-0,18191	0,08993	-0,91417
0,15438	0,67227	-1,86969	-0,96890	-0,06195	0,04391	-1,97505	-0,10069	0,03614	-2,02354
0,08917	-0,22846	-3,64047	-1,67298	-0,24930	0,09408	-2,48238	-0,29677	0,12705	-2,28756
0,02365	-0,72490	-4,69146	-2,24311	-0,27686	0,04187	-3,05480	-0,40545	0,01083	-3,19852
0,12526	-1,14510	-5,57042	-2,60800	-0,18053	0,09893	-2,96682	-0,25088	0,12085	-2,81408
0,08531	-1,27852	-5,74063	-2,75960	-0,26750	0,06498	-2,95683	-0,33855	0,04576	-3,01119
0,01365	-1,11091	-5,44310	-2,67973	-0,25941	0,05374	-2,56202	-0,37026	0,04771	-2,62237
0,12391	-0,85477	-4,86201	-2,37551	-0,10695	0,09728	-1,84497	-0,14452	0,13387	-1,74623
0,11745	-0,21924	-3,49737	-1,89315	-0,10177	0,01494	-1,26862	-0,11165	-0,00560	-1,47008
0,08909	0,46846	-2,09833	-1,26230	-0,03375	0,01289	-0,19544	-0,03520	0,06353	-0,11281
0,13021	1,38198	-0,14615	-0,56186	0,04614	-0,08553	0,59784	0,05930	-0,06791	0,41229
0,12604	2,31151	1,80862	0,15618	0,10442	-0,02170	1,57797	0,19531	0,01156	1,51804
0,16794	3,16435	3,54445	0,81237	0,22111	-0,06166	2,37353	0,31586	-0,01448	2,33501
0,11456	3,96492	5,18734	1,32827	0,16953	-0,11272	2,78680	0,25217	-0,08142	2,55507
0,13503	4,32599	6,01823	1,66351	0,24134	-0,03102	3,11612	0,38444	0,02604	3,16358
0,24237	4,53891	6,39424	1,77093	0,27774	-0,11987	2,81157	0,39579	-0,10685	2,61825
0,12391	4,30219	5,89602	1,65936	0,10632	-0,08196	2,41348	0,18242	-0,02251	2,40437
0,19143	3,74479	4,72151	1,33934	0,18546	-0,06294	1,61716	0,27215	-0,02787	1,59462
0,20109	3,05466	3,20940	0,84951	0,08129	-0,08387	0,67698	0,14516	-0,07058	0,63248
0,04688	2,18440	1,38049	0,25443	-0,09684	0,02502	-0,16485	-0,11409	0,07545	-0,07903
0,12862	1,41836	-0,30370	-0,38419	-0,02326	0,00472	-1,02577	-0,05827	0,02057	-1,06037
0,16107	0,67492	-1,77234	-0,99555	-0,10543	0,06230	-1,58669	-0,10133	0,07959	-1,47756
0,03411	0,15766	-2,85430	-1,53599	-0,23830	0,03396	-2,07366	-0,32707	0,04308	-2,11107
0,10992	-0,23365	-3,67763	-1,95434	-0,12844	0,05004	-2,23788	-0,19647	0,05647	-2,20325
0,12044	-0,46677	-4,09839	-2,22408	-0,17206	0,06128	-2,25596	-0,19725	0,05793	-2,21924
0,03508	-0,42979	-4,06909	-2,33095	-0,23236	0,03689	-2,10678	-0,31083	0,03602	-2,18224
0,08297	-0,33414	-3,83081	-2,26617	-0,12528	0,04557	-1,70452	-0,18358	0,06888	-1,65985
0,13458	-0,01893	-3,11320	-2,05262	-0,08028	0,05081	-1,29681	-0,07542	0,04028	-1,36204
0,05440	0,44953	-2,22284	-1,71097	-0,09848	0,00421	-0,67394	-0,11487	0,02969	-0,71809
0,10443	0,96214	-1,07500	-1,28064	0,01479	-0,01532	-0,01530	0,01122	0,01728	-0,03365
0,08141	1,63677	0,33133	-0,81114	-0,00771	-0,03268	0,57205	0,03532	-0,02166	0,43652
0,12406	2,24461	1,56849	-0,34197	0,10177	-0,01545	1,29441	0,17572	0,03870	1,31112
0,18510	2,85138	2,91000	0,06674	0,15082	-0,07749	1,66596	0,19957	-0,05744	1,50437
0,09513	3,29930	3,85813	0,37933	0,07168	-0,03268	2,00666	0,16308	0,00511	1,95727
0,22966	3,54242	4,26557	0,55666	0,25726	-0,06740	2,11487	0,36575	-0,02422	2,07497
0,14826	3,58643	4,38349	0,57710	0,09368	-0,10940	1,81248	0,15780	-0,08397	1,66037
0,07708	3,30133	3,79307	0,45147	0,05967	-0,02604	1,50439	0,12222	0,02483	1,56071
0,24615	2,94846	2,94701	0,18795	0,17244	-0,08183	0,85611	0,24443	-0,06937	0,75174
0,09445	2,36065	1,78242	-0,16944	-0,07497	-0,01430	0,27496	-0,05170	0,03274	0,31212
0,07497	1,76857	0,51883	-0,58146	-0,04058	0,01800	-0,37243	-0,06833	0,04819	-0,37825
0,22664	1,23370	-0,61961	-1,00088	0,02642	0,01277	-0,91869	0,04422	0,02008	-0,93042
0,07174	0,69956	-1,65305	-1,38436	-0,19380	0,03970	-1,29340	-0,22123	0,07083	-1,22745
0,04628	0,37919	-2,39286	-1,69944	-0,14134	0,00626	-1,64611	-0,22123	0,00316	-1,73875
0,15586	0,07867	-2,97719	-1,90559	-0,07585	0,05872	-1,63359	-0,08779	0,08117	-1,53325
0,06169	0,00924	-3,12174	-1,99685	-0,18141	0,02821	-1,69074	-0,21852	0,02434	-1,79045
0,05464	0,04745	-3,03122	-1,95367	-0,12124	0,02962	-1,43082	-0,18642	0,04771	-1,41155
0,14487	0,22974	-2,64750	-1,78761	-0,03413	0,03791	-1,08620	-0,03764	0,04710	-1,09479
0,06846	0,58872	-1,89969	-1,51793	-0,11567	0,00651	-0,72717	-0,11745	0,01375	-0,85152
0,08286	0,91102	-1,20026	-1,16180	0,01112	0,01787	-0,11871	-0,00219	0,06109	-0,04035
0,10474	1,47185	-0,03268	-0,76744	0,00847	-0,04430	0,24437	0,02527	-0,04503	0,05337
0,09500	1,93628	0,93161	-0,35504	0,03540	0,00728	0,88582	0,09966	0,05829	0,91791
0,19776	2,39128	1,95167	0,02354	0,16030	-0,06485	1,18657	0,20640	-0,04844	1,07739
0,11289	2,80755	2,77148	0,33853	0,04766	-0,05630	1,46217	0,10610	-0,02312	1,35972
0,13302	2,98326	3,10833	0,56349	0,15019	-0,04340	1,65749	0,23708	0,01655	1,68254
0,18440	3,12974	3,43534	0,66867	0,15436	-0,10557	1,44017	0,21904	-0,10271	1,26613
0,05760	3,01612	3,17659	0,66291	0,01985	-0,01889	1,36609	0,06330	0,03724	1,42586
0,19740	2,83445	2,73471	0,53975	0,15916	-0,06472	0,93437	0,21543	-0,03833	0,82870
0,16560	2,47354	2,02857	0,32681	0,04184	-0,04340	0,53008	0,09489	-0,01679	0,54417
0,03924	2,04542	1,11961	0,04882	-0,05853	-0,00319	0,01960	-0,07310	0,02592	-0,00064
0,15190	1,60464	0,10612	-0,25761	0,04829	-0,02502	-0,48002	0,05208	-0,00864	-0,51297
0,12641	1,06568	-0,92151	-0,55268	-0,10088	0,02808	-0,88898	-0,08522	0,05257	-0,81387
0,00510	0,70107	-1,73438	-0,80647	-0,17636	0,00740	-1,32677	-0,25230	0,01606	-1,41735
0,16638	0,34029	-2,48003	-0,97542	-0,01770	0,07072	-1,40452	-0,03893	0,10064	-1,30648
0,11984	0,20336	-2,71469	-1,05061	-0,14741	0,03855	-1,50351	-0,16270	0,04357	-1,54653
0,03289	0,25865	-2,61641	-1,01459	-0,15044	0,04634	-1,26748	-0,20550	0,06864	-1,26987
0,12414	0,46518	-2,20953	-0,87306	0,00784	0,00779	-0,88772	-0,00851	0,02872	-0,87395
0,10208	0,85086	-1,33245	-0,64954	-0,06877	-0,00332	-0,50694	-0,04203	-0,00475	-0,60618
0,07359	1,24930	-0,52729	-0,36223	-0,00948	-0,02681	0,06144	-0,00864	0,00998	0,07555
0,15635	1,72281	0,46617	-0,05319	0,08824	-0,05438	0,45954	0,11384	-0,03894	0,35337
0,04961	2,16151	1,39117	0,24780	-0,01896	-0,02170	0,88468	0,03661	0,00535	0,83321
0,16852	2,52977	2,15224	0,50376	0,15954	-0,02017	1,23474	0,22587	0,01412	1,21379
0,15336	2,85255	2,85701	0,68034	0,06991	-0,07021	1,33398	0,10842	-0,04527	1,19032
0,08516	2,93690	3,07081	0,76451	0,06030	0,01072	1,41944	0,13369	0,05318	1,43927
0,23313	2,98523	3,06945	0,73610	0,20493	-0,08515	1,24599	0,28027	-0,07010	1,15835
0,11724	2,83841	2,79867	0,60202	-0,00038	-0,06242	0,98443	0,04396	-0,02750	0,93648
0,09063	2,52997	2,14695	0,37563	0,02844	-0,04966	0,60795	0,05054	-0,01400	0,60760
0,23893	2,17049	1,34904	0,07782	0,11150	-0,03383	0,11239	0,16940	-0,02726	0,05827
0,05943	1,69391	0,40729	-0,25507	-0,13780	0,00345	-0,32111	-0,15522	0,03992	-0,28118
0,07174	1,27833	-0,54891	-0,59160	-0,04652	0,02617	-0,78823	-0,08354	0,04503	-0,84005
0,20568	0,85396	-1,38250	-0,89245	-0,01783	0,04353	-1,08165	-0,00206	0,05622	-1,02492
0,06484	0,55013	-1,99513	-1,13454	-0,18824	0,04060	-1,33221	-0,22883	0,05744	-1,35805
0,04776	0,35706	-2,41755	-1,28928	-0,11302	0,01136	-1,42677	-0,18268	0,01959	-1,46054
0,16021	0,25299	-2,61451	-1,34009	-0,04690	0,05757	-1,30528	-0,03507	0,07107	-1,24163
0,06682	0,37156	-2,38057	-1,29058	-0,16991	-0,01557	-1,19922	-0,20473	-0,01083	-1,31370
0,11555	0,49547	-2,05701	-1,13547	-0,03451	0,03089	-0,81566	-0,05969	0,05513	-0,76128
0,12237	0,83013	-1,42313	-0,90126	-0,02655	-0,00600	-0,49936	-0,02346	-0,00316	-0,58917
0,06352	1,20031	-0,62898	-0,60464	-0,06144	0,01826	-0,02490	-0,03777	0,04758	-0,06407
0,16234	1,58875	0,22448	-0,27631	0,09102	-0,01660	0,42085	0,10365	0,00682	0,40391
0,08576	2,05852	1,17643	0,04692	0,00076	-0,02655	0,74132	0,03455	-0,01558	0,59806
0,11169	2,37401	1,81737	0,34162	0,09734	-0,02196	1,17166	0,16876	0,02799	1,20592
0,19469	2,69826	2,52464	0,56583	0,14677	-0,08183	1,24460	0,20215	-0,07606	1,09802
0,08490	2,88359	2,91552	0,70697	0,02592	-0,03970	1,39074	0,06897	0,00134	1,37146
0,19987	2,95641	3,01117	0,74412	0,17421	-0,05642	1,37936	0,25977	-0,01704	1,35650
0,17841	2,95859	3,04906	0,66935	0,07825	-0,07200	1,12425	0,13769	-0,06207	1,00287
0,07729	2,75148	2,61826	0,49597	0,01732	0,00332	0,94221	0,04125	0,05075	0,99488
0,20255	2,53159	2,08510	0,22717	0,12124	-0,06217	0,50644	0,16979	-0,05221	0,41551
0,12180	2,15607	1,34995	-0,10502	-0,03868	-0,00766	0,15145	0,00361	0,02410	0,17546
0,05292	1,75753	0,50206	-0,47640	-0,06005	-0,00396	-0,32212	-0,09733	0,01387	-0,35247
0,17469	1,35417	-0,38016	-0,85193	0,01441	-0,00191	-0,71301	0,03146	0,00974	-0,71899
0,10081	0,91940	-1,19393	-1,20107	-0,14096	0,02655	-1,03677	-0,14877	0,04661	-0,99694
0,03719	0,64661	-1,83227	-1,49714	-0,13856	0,01532	-1,34245	-0,21169	0,01752	-1,42354
0,17289	0,37542	-2,40406	-1,70609	-0,03110	0,04596	-1,35143	-0,04009	0,07058	-1,27244
0,08701	0,28182	-2,53344	-1,82254	-0,17813	0,02515	-1,44725	-0,19918	0,02312	-1,53364
0,03755	0,28396	-2,55974	-1,82696	-0,12768	0,02553	-1,24258	-0,18719	0,04734	-1,23519
0,14685	0,41813	-2,29419	-1,72652	-0,00556	0,03460	-0,95346	-0,01212	0,05391	-0,95981
0,04802	0,71492	-1,62826	-1,53722	-0,13944	-0,00396	-0,65978	-0,14014	0,00377	-0,77133
0,09122	1,01508	-1,01255	-1,27244	0,01934	0,00255	-0,14728	0,02269	0,03700	-0,11177
0,15633	1,44734	-0,08266	-0,97116	0,03325	-0,04519	0,16624	0,04241	-0,03773	0,02411
0,07469	1,81729	0,72161	-0,65329	-0,03767	-0,00051	0,63513	0,01134	0,04162	0,62539
0,18612	2,17107	1,44758	-0,35601	0,15550	-0,04174	0,91503	0,20086	-0,02507	0,84443
0,10927	2,50594	2,12289	-0,10587	0,02933	-0,03830	1,12804	0,06614	-0,00256	1,02762
0,06729	2,66940	2,45313	0,07724	0,07080	-0,02094	1,30870	0,13434	0,03322	1,31267
0,20612	2,82315	2,76031	0,16820	0,18735	-0,06217	1,20238	0,26274	-0,05915	1,07855
0,07313	2,78940	2,67703	0,16884	0,00177	-0,03421	1,14283	0,03326	0,01667	1,14185
0,11284	2,64818	2,33951	0,07527	0,08698	-0,05540	0,85472	0,12673	-0,01801	0,78912
0,20620	2,38448	1,85318	-0,09673	0,09873	-0,04711	0,50062	0,16270	-0,03456	0,47585
0,04914	2,04292	1,13203	-0,32618	-0,08053	-0,01072	0,11871	-0,09256	0,02836	0,10881
0,13013	1,69732	0,34956	-0,58607	0,03097	-0,02413	-0,26396	0,03378	0,00061	-0,29342
0,16362	1,30776	-0,39617	-0,84677	-0,02149	0,01583	-0,60277	0,00632	0,02933	-0,57615
-0,01232	1,00336	-1,11510	-1,08325	-0,16397	0,02247	-0,93778	-0,21659	0,04053	-0,99488
0,10672	0,70990	-1,74099	-1,26364	-0,01429	0,02898	-1,05510	-0,04048	0,05549	-1,00622
0,13096	0,54495	-1,99406	-1,37560	-0,09254	0,03128	-1,19694	-0,08831	0,02982	-1,24047
-0,00628	0,48214	-2,14401	-1,40081	-0,16978	0,02119	-1,13411	-0,22123	0,04016	-1,15036
0,14216	0,50484	-2,09844	-1,33370	0,00683	0,02119	-0,96155	-0,01122	0,04259	-0,95504
0,11805	0,66052	-1,71378	-1,18347	-0,09001	0,00064	-0,78292	-0,08728	0,00170	-0,85242
0,05755	0,87276	-1,29500	-0,95610	-0,07181	0,01174	-0,41124	-0,07374	0,04174	-0,40378
0,16961	1,20169	-0,61924	-0,67607	0,06498	-0,02974	-0,07181	0,06330	-0,01132	-0,13833
0,06628	1,56911	0,18714	-0,36583	-0,05082	0,01034	0,32035	-0,01676	0,03249	0,27357
0,13107	1,96474	0,95510	-0,05359	0,09064	-0,02962	0,74095	0,13472	0,00548	0,71151
0,18094	2,33047	1,77625	0,22608	0,10935	-0,04442	0,98759	0,15715	-0,02458	0,88543
0,03914	2,58341	2,30180	0,45076	0,01466	-0,03715	1,17924	0,05917	-0,00669	1,13437
0,19055	2,72333	2,53221	0,59748	0,19418	-0,05311	1,20579	0,27628	-0,03213	1,15384
0,11872	2,71206	2,51740	0,65646	0,02933	-0,07940	1,03500	0,07284	-0,04904	0,95156
0,05203	2,52958	2,12068	0,63361	0,01833	-0,00689	0,80833	0,04731	0,03176	0,80588
0,22208	2,30966	1,62734	0,53668	0,14323	-0,04187	0,46029	0,20228	-0,03274	0,41628
0,10122	2,01690	1,07128	0,38770	-0,07573	0,00613	0,16687	-0,05672	0,04625	0,16901
0,08005	1,75549	0,48555	0,20711	-0,01201	-0,00077	-0,10973	-0,02862	0,03359	-0,12247
0,24318	1,53253	0,05930	0,01597	0,09090	0,00447	-0,32958	0,14233	0,00961	-0,32604
0,06273	1,35414	-0,31107	-0,16807	-0,14336	-0,01315	-0,49898	-0,15535	0,01107	-0,51878
0,10068	1,20648	-0,65919	-0,32805	-0,01985	-0,01136	-0,60656	-0,04370	0,00974	-0,62049
0,22969	1,07161	-0,85971	-0,45283	0,01365	-0,00089	-0,67281	0,04113	0,00438	-0,66510
0,06102	1,01794	-0,98857	-0,53557	-0,16270	0,01481	-0,71351	-0,17894	0,03201	-0,76115
